,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,palora,75,EC,1566606966,73,-1.7,-77.97,70.02,3.36
1,yellowknife,90,CA,1566606967,67,62.45,-114.38,57.2,14.99
2,hobart,75,AU,1566606823,44,-42.88,147.33,58.6,12.75
3,ambalavao,0,MG,1566606968,89,-21.83,46.94,53.61,4.92
4,palana,100,RU,1566606969,93,59.08,159.95,51.52,6.62
5,punta arenas,75,CL,1566606970,93,-53.16,-70.91,41.0,12.75
6,springbok,0,ZA,1566606970,24,-29.67,17.88,60.88,1.66
7,qaanaaq,97,GL,1566606971,69,77.48,-69.36,36.27,17.74
8,upernavik,21,GL,1566606723,57,72.79,-56.15,38.94,6.33
9,lasa,0,CY,1566606972,69,34.92,32.53,76.46,3.36
10,poum,0,MK,1566606973,68,41.28,20.71,64.4,3.36
11,norman wells,75,CA,1566606974,62,65.28,-126.83,55.4,13.87
12,namatanai,100,PG,1566606975,81,-3.66,152.44,79.4,14.05
13,arraial do cabo,75,BR,1566606975,82,-22.97,-42.02,64.4,4.7
14,lagoa,0,PT,1566606976,73,37.14,-8.45,70.27,7.23
15,ushuaia,90,AR,1566606977,80,-54.81,-68.31,39.2,6.93
16,busselton,0,AU,1566606978,67,-33.64,115.35,40.17,11.18
17,atuona,51,PF,1566606978,73,-9.8,-139.03,79.08,16.78
18,bandarbeyla,26,SO,1566606979,68,9.49,50.81,77.3,18.95
19,katsuura,75,JP,1566606980,88,33.93,134.5,77.9,5.82
20,abu zabad,36,SD,1566606981,87,12.35,29.25,69.88,6.98
21,mataura,95,NZ,1566606981,77,-46.19,168.86,52.0,11.99
22,leningradskiy,53,RU,1566606982,78,69.38,178.42,42.32,5.44
23,vaini,75,IN,1566606983,94,15.34,74.49,69.8,5.82
24,ongandjera,0,NA,1566606984,18,-17.88,15.07,58.32,9.69
25,hilo,90,US,1566606984,62,19.71,-155.08,76.6,12.75
26,cape town,0,ZA,1566606883,76,-33.93,18.42,53.56,4.7
27,mackay,90,CA,1566606986,87,53.65,-115.58,60.8,4.7
28,saskylakh,100,RU,1566606987,72,71.97,114.09,52.58,4.76
29,santa maria,0,BR,1566606987,36,-16.02,-48.01,74.89,2.24
30,takoradi,61,GH,1566606988,89,4.89,-1.75,74.43,4.74
31,nikolskoye,75,RU,1566606989,87,59.7,30.79,60.19,6.71
32,kapaa,40,US,1566606990,66,22.08,-159.32,85.91,11.41
33,can,100,IT,1566606991,83,46.08,11.97,63.99,1.12
34,diffa,93,NE,1566606991,56,13.32,12.61,83.4,10.89
35,waynesville,40,US,1566606992,94,37.83,-92.2,74.97,6.93
36,tuktoyaktuk,90,CA,1566606993,87,69.44,-133.03,42.8,5.82
37,tura,71,RU,1566606994,59,64.27,100.22,57.73,3.67
38,pisco,0,PE,1566606995,87,-13.71,-76.2,60.91,9.17
39,bluff,17,AU,1566606996,57,-23.58,149.07,66.41,16.37
40,odesskoye,35,RU,1566606997,77,54.21,72.97,59.49,10.89
41,rikitea,51,PF,1566606997,70,-23.12,-134.97,70.87,14.9
42,palmer,75,AU,1566606998,58,-34.85,139.16,58.42,10.29
43,torbay,90,CA,1566606999,94,47.66,-52.73,68.72,18.34
44,san patricio,17,PY,1566606999,77,-26.98,-56.83,55.21,5.35
45,provideniya,75,RU,1566607000,53,64.42,-173.23,54.74,5.39
46,mount gambier,57,AU,1566607001,66,-37.83,140.78,53.6,14.99
47,mar del plata,100,AR,1566606730,53,-46.43,-67.52,49.0,10.42
48,barrow,98,AR,1566607002,62,-38.31,-60.23,51.52,9.17
49,chernolesskoye,37,RU,1566607003,53,44.72,43.71,72.9,6.17
50,bredasdorp,0,ZA,1566607004,93,-34.53,20.04,53.26,6.93
51,puerto ayora,0,EC,1566607004,73,-0.74,-90.35,72.59,16.11
52,castro,90,CL,1566607005,100,-42.48,-73.76,50.0,13.87
53,east london,0,ZA,1566607006,90,-33.02,27.91,54.87,2.53
54,leua,9,AO,1566607007,39,-11.65,20.45,54.87,5.79
55,valparaiso,1,US,1566606727,56,41.47,-87.06,67.19,6.93
56,adrar,58,DZ,1566607008,12,27.87,-0.29,96.8,4.7
57,souillac,0,FR,1566607009,46,45.6,-0.6,65.03,8.23
58,khatanga,86,RU,1566607009,60,71.98,102.47,58.43,4.54
59,ushtobe,100,KZ,1566607010,53,45.25,77.98,61.08,11.21
60,pacific grove,1,US,1566607011,53,36.62,-121.92,69.15,8.05
61,itaituba,38,BR,1566607012,69,-4.26,-55.99,74.15,1.66
62,port elizabeth,75,US,1566607012,88,39.31,-74.98,66.18,5.82
63,tchollire,100,CM,1566607013,97,8.4,14.17,70.13,3.38
64,fare,20,PF,1566607014,70,-16.7,-151.02,78.07,8.39
65,kaitangata,56,NZ,1566607015,49,-46.28,169.85,55.99,11.01
66,longyearbyen,75,NO,1566607016,70,78.22,15.63,37.4,6.93
67,pevek,78,RU,1566607016,82,69.7,170.27,41.28,3.94
68,gao,96,ML,1566607017,79,16.28,-0.04,77.6,3.24
69,byron bay,0,AU,1566607018,59,-28.65,153.62,66.67,4.7
70,mahebourg,40,MU,1566607019,93,-20.41,57.7,66.67,1.12
71,hermanus,0,ZA,1566607019,91,-34.42,19.24,60.76,1.99
72,vrangel,100,RU,1566607020,98,42.73,133.08,59.26,3.69
73,albany,75,US,1566606773,60,42.65,-73.75,64.11,5.82
74,cairns,75,AU,1566607021,47,-16.92,145.77,72.16,16.11
75,novoagansk,99,RU,1566607022,86,61.94,76.66,58.63,15.05
76,lorengau,9,PG,1566607023,74,-2.02,147.27,83.4,13.89
77,bethel,40,US,1566607024,55,60.79,-161.76,63.18,10.29
78,funtua,84,NG,1566607024,96,11.52,7.31,68.15,7.67
79,beringovskiy,23,RU,1566607025,47,63.05,179.32,59.03,3.56
80,cidreira,23,BR,1566607026,87,-30.17,-50.22,52.11,6.11
81,strezhevoy,75,RU,1566607027,100,60.73,77.6,59.0,11.18
82,geraldton,20,CA,1566607028,59,49.72,-86.95,62.6,3.36
83,neiafu,20,TO,1566606793,78,-18.65,-173.98,82.4,9.17
84,chokurdakh,45,RU,1566607029,44,70.62,147.9,60.38,5.44
85,severo-kurilsk,86,RU,1566607030,89,50.68,156.12,49.43,4.14
86,kavaratti,100,IN,1566607030,78,10.57,72.64,81.67,17.2
87,hasaki,75,JP,1566607031,88,35.73,140.83,81.07,1.12
88,hobyo,40,SO,1566607032,76,5.35,48.53,78.2,22.28
89,saint-philippe,75,CA,1566607033,48,45.36,-73.48,64.4,12.75
90,airai,76,TL,1566607034,59,-8.93,125.41,79.49,1.12
91,salalah,75,OM,1566607034,88,17.01,54.1,78.8,4.7
92,evensk,100,RU,1566607035,90,61.92,159.24,53.54,8.84
93,ahipara,2,NZ,1566607036,100,-35.17,173.16,63.0,22.62
94,praia da vitoria,75,PT,1566607037,94,38.73,-27.07,69.8,13.42
95,ponta do sol,8,BR,1566607038,65,-20.63,-46.0,61.85,2.86
96,los llanos de aridane,0,ES,1566607038,78,28.66,-17.92,73.4,17.22
97,narsaq,48,GL,1566607039,70,60.91,-46.05,44.6,1.12
98,victoria,75,BN,1566607040,83,5.28,115.24,81.18,3.36
99,mozarlandia,44,BR,1566606790,28,-14.74,-50.57,81.36,2.04
100,kruisfontein,0,ZA,1566607041,85,-34.0,24.73,54.89,4.65
101,saint george,0,GR,1566607042,60,39.45,22.34,73.49,0.65
102,san policarpo,100,PH,1566607043,74,12.18,125.51,82.07,8.79
103,badarpur,98,IN,1566607044,99,24.87,92.56,75.39,1.32
104,mikhaylovskoye,56,RU,1566607045,50,43.1,44.64,66.33,5.28
105,new norfolk,75,AU,1566607046,44,-42.78,147.06,58.6,12.75
106,hithadhoo,87,MV,1566606945,66,-0.6,73.08,82.68,6.91
107,sihora,100,IN,1566607047,90,23.49,80.11,76.65,4.52
108,flagstaff,20,US,1566606872,19,35.2,-111.65,83.8,11.41
109,vanimo,22,PG,1566607048,75,-2.67,141.3,82.35,10.74
110,pangnirtung,25,CA,1566607049,69,66.15,-65.72,44.84,3.62
111,jamestown,0,AU,1566606956,45,-33.21,138.6,58.67,16.58
112,nizhniy tsasuchey,0,RU,1566607051,64,50.52,115.13,64.66,7.52
113,lompoc,90,US,1566607051,72,34.64,-120.46,71.69,6.93
114,heyang,6,CN,1566607052,85,26.1,107.47,70.19,3.31
115,vestmanna,100,FO,1566607053,100,62.16,-7.17,53.6,16.11
116,vardo,90,US,1566607054,93,39.62,-77.74,63.97,3.36
117,luangwa,0,MZ,1566607055,63,-15.62,30.4,54.81,0.74
118,malaya vishera,100,RU,1566607055,95,58.85,32.22,58.86,11.9
119,saint-francois,0,FR,1566607056,93,46.42,3.91,54.7,3.02
120,isangel,75,VU,1566607057,60,-19.55,169.27,73.4,16.11
121,oda,40,JP,1566607058,69,35.19,132.5,80.6,3.36
122,kodiak,1,US,1566607058,61,39.95,-94.76,75.87,9.17
123,richards bay,0,ZA,1566607059,76,-28.77,32.06,66.01,2.89
124,mount abu,0,IN,1566607060,86,24.59,72.71,76.23,3.31
125,iqaluit,75,CA,1566607061,70,63.75,-68.52,48.09,2.24
126,hervey bay,40,AU,1566607062,60,-25.3,152.85,70.68,10.29
127,mehamn,100,NO,1566607062,93,71.03,27.85,43.56,6.96
128,edmundston,75,CA,1566607063,76,47.36,-68.33,59.49,14.99
129,mount isa,0,AU,1566607064,17,-20.73,139.49,75.2,3.36
130,port alfred,0,ZA,1566607064,92,-33.59,26.89,57.99,3.0
131,yurgamysh,49,RU,1566607065,94,55.37,64.47,53.52,8.1
132,gedo,99,ET,1566607066,98,9.01,37.45,59.31,1.45
133,harper,40,US,1566607067,38,30.3,-99.24,87.98,9.17
134,sibut,100,CF,1566607068,94,5.73,19.09,69.95,2.71
135,marquette,5,US,1566607068,59,46.54,-87.4,59.05,10.29
136,georgetown,20,GY,1566607069,78,6.8,-58.16,80.47,6.93
137,tasiilaq,100,GL,1566607070,60,65.61,-37.64,42.8,5.82
138,san carlos de bariloche,75,AR,1566606902,75,-41.13,-71.31,44.6,14.99
139,kahului,40,US,1566607060,74,20.89,-156.47,81.99,17.22
140,clyde river,1,CA,1566607072,87,70.47,-68.59,48.2,17.22
141,rio gallegos,20,AR,1566607073,93,-51.62,-69.22,41.0,20.8
142,thompson,75,CA,1566606935,64,55.74,-97.86,68.0,5.82
143,cockburn town,8,TC,1566607074,82,21.46,-71.14,83.47,23.09
144,nandi,40,IN,1566607075,100,13.39,77.7,68.0,18.34
145,tiksi,100,RU,1566607076,99,71.64,128.87,47.09,2.68
146,kurumkan,0,RU,1566607076,59,54.33,110.32,59.58,7.67
147,ulety,21,RU,1566607077,68,51.36,112.48,57.84,3.44
148,dikson,100,RU,1566606783,96,73.51,80.55,40.38,21.74
149,santa cruz,9,BR,1566607079,75,-6.22,-36.02,70.29,15.05
150,los alamos,18,US,1566607080,21,35.88,-106.3,79.0,5.82
151,cao bang,38,VN,1566607081,85,22.67,106.25,74.15,2.24
152,vestmannaeyjar,58,IS,1566607081,88,63.44,-20.27,50.73,8.48
153,ozernovskiy,98,RU,1566607082,93,51.5,156.52,48.89,6.51
154,mao,40,DO,1566607083,70,19.55,-71.08,83.07,16.11
155,chenzhou,0,CN,1566607084,70,25.81,113.03,82.17,3.27
156,vao,100,EE,1566607085,94,59.1,26.19,60.39,11.56
157,sandwick,60,GB,1566607085,100,54.57,-2.89,60.35,2.24
158,faanui,5,PF,1566607086,70,-16.48,-151.75,78.47,10.02
159,kamyshla,91,RU,1566607087,91,54.11,52.14,53.57,3.87
160,trairi,20,BR,1566607088,84,-3.28,-39.27,72.53,6.89
161,xifeng,6,CN,1566607089,89,42.73,124.72,64.21,4.5
162,dukat,18,AL,1566607090,53,40.25,19.57,78.53,1.01
163,sao felix do xingu,94,BR,1566607090,71,-6.64,-51.99,76.74,5.08
164,nisko,0,PL,1566607091,87,50.52,22.14,59.2,6.93
165,naryan-mar,58,RU,1566607092,94,67.67,53.09,42.02,10.85
166,saint-augustin,75,CA,1566607092,59,45.63,-73.98,64.87,5.82
167,cardston,75,CA,1566607093,49,49.2,-113.32,74.39,9.17
168,kangaatsiaq,0,GL,1566606810,79,68.31,-53.46,44.34,7.34
169,nichinan,75,JP,1566607094,83,31.65,131.31,80.94,2.24
170,kavieng,77,PG,1566607095,78,-2.57,150.8,82.77,11.72
171,cabo san lucas,90,MX,1566607096,88,22.89,-109.91,81.32,12.75
172,singapore,75,MY,1566606551,83,1.29,103.85,81.36,5.82
173,cherskiy,38,RU,1566607097,39,68.75,161.3,63.27,4.41
174,butaritari,54,KI,1566607098,70,3.07,172.79,84.39,7.74
175,bandrele,75,YT,1566607099,88,-12.91,45.19,77.0,16.11
176,touros,0,BR,1566607100,88,-5.2,-35.46,73.4,3.36
177,san cristobal,0,HN,1566607100,54,14.68,-86.92,75.42,6.85
178,paamiut,44,GL,1566607101,86,61.99,-49.67,40.86,13.15
179,ambilobe,36,MG,1566607102,83,-13.19,49.05,68.94,7.72
180,descalvado,0,BR,1566607103,71,-21.91,-47.62,61.99,4.7
181,jhargram,100,IN,1566607103,91,22.45,86.99,77.37,1.61
182,xining,100,CN,1566607104,95,36.62,101.77,50.28,0.96
183,teofilo otoni,32,BR,1566607105,78,-17.86,-41.51,64.12,3.09
184,vila velha,20,BR,1566606810,74,-3.71,-38.6,82.24,9.17
185,avarua,0,CK,1566606817,69,-21.21,-159.78,77.0,14.99
186,ketchikan,90,US,1566607107,93,55.34,-131.65,57.2,21.92
187,hof,1,DE,1566607108,100,50.32,11.92,54.46,2.06
188,yelanskiy,0,RU,1566607109,94,56.84,62.5,50.26,8.3
189,southbridge,1,US,1566607005,60,42.08,-72.03,66.74,8.05
190,grand gaube,40,MU,1566607110,93,-20.01,57.66,66.58,1.12
191,acapulco,75,MX,1566607111,74,16.86,-99.88,84.2,6.93
192,birao,100,CF,1566607111,93,10.3,22.78,72.04,4.72
193,dolores,85,UY,1566607112,68,-33.53,-58.22,51.01,7.99
194,turayf,0,SA,1566607113,30,31.68,38.65,82.4,13.87
195,chuy,0,UY,1566607114,80,-33.69,-53.46,48.42,4.83
196,bambous virieux,40,MU,1566607114,93,-20.34,57.76,66.65,1.12
197,matagami,96,NG,1566607115,99,9.67,8.4,67.52,5.55
198,lufilufi,2,WS,1566607116,72,-13.87,-171.6,82.16,15.35
199,maibong,95,IN,1566607117,99,25.3,93.13,74.45,1.14
200,vieux-habitants,0,GP,1566607117,78,16.06,-61.77,82.4,4.7
201,jardim,0,BR,1566607118,40,-21.48,-56.15,70.42,6.96
202,nagar,23,IN,1566607119,57,27.42,77.1,85.13,0.18
203,finote selam,100,ET,1566607120,99,10.7,37.27,59.01,1.01
204,antalaha,82,MG,1566607120,98,-14.9,50.28,60.92,4.05
205,gorontalo,71,ID,1566607121,71,0.54,123.06,81.26,7.72
206,miyako,75,JP,1566607122,69,33.63,130.94,79.97,4.7
207,mareeba,75,AU,1566607123,47,-16.99,145.42,72.23,16.11
208,palu,100,ID,1566606890,72,-0.9,119.87,80.3,1.19
209,noumea,75,NC,1566607124,46,-22.28,166.46,70.38,10.29
210,stanovoye,60,RU,1566607125,88,52.76,38.34,56.06,7.36
211,okhotsk,100,RU,1566607126,82,59.36,143.24,57.06,9.04
212,faya,0,SA,1566607127,52,18.39,42.45,68.92,2.93
213,inirida,40,CO,1566607127,91,3.87,-67.92,72.49,2.01
214,champerico,90,MX,1566607128,62,16.38,-93.6,84.2,5.82
215,lebu,75,ET,1566607129,87,8.96,38.73,55.4,6.93
216,kamina,46,CD,1566607130,31,-8.74,25.0,62.61,4.79
217,muros,0,ES,1566607131,82,42.77,-9.06,63.9,4.85
218,bonnyville,90,CA,1566607131,63,54.27,-110.74,64.4,6.93
219,dawson creek,1,CA,1566607132,52,55.76,-120.23,63.93,13.87
220,mount pleasant,1,US,1566607114,46,33.16,-94.97,88.3,6.17
221,mikun,17,RU,1566607133,98,62.35,50.08,48.32,5.37
222,cabedelo,20,BR,1566607134,88,-6.97,-34.84,73.4,10.29
223,antofagasta,90,CL,1566607135,76,-23.65,-70.4,57.2,6.93
224,konevo,0,BG,1566607136,46,41.67,25.61,82.0,3.0
225,sao filipe,78,CV,1566607136,76,14.9,-24.5,77.85,5.82
226,newport,49,GB,1566607137,67,51.59,-3.0,55.83,6.93
227,bowen,90,AU,1566607138,68,-20.01,148.25,72.32,17.22
228,zhanaozen,0,KZ,1566607139,29,43.35,52.85,76.7,14.0
229,miraflores,0,PE,1566606840,19,-16.39,-71.52,57.2,2.24
230,buala,85,SB,1566607140,75,-8.15,159.59,82.64,8.72
231,alofi,40,NU,1566607141,70,-19.06,-169.92,84.2,12.75
232,samarai,96,PG,1566607142,80,-10.62,150.67,73.52,9.91
233,beni suef,0,EG,1566607021,58,29.07,31.1,73.77,9.93
234,dingle,98,PH,1566607143,83,11.0,122.67,80.27,10.56
235,kysyl-syr,2,RU,1566607144,80,63.9,122.77,58.45,2.73
236,tumut,0,AU,1566607145,54,-35.3,148.22,51.07,4.59
237,skowhegan,1,US,1566607145,63,44.77,-69.72,63.03,4.7
238,broken hill,0,AU,1566607146,29,-31.97,141.45,60.8,13.87
239,fukue,40,JP,1566607147,78,35.03,136.69,79.57,2.24
240,camacha,40,PT,1566606933,83,33.08,-16.33,72.63,11.41
241,bathsheba,20,BB,1566607148,74,13.22,-59.52,82.4,11.41
242,liliongan,100,PH,1566607149,66,7.36,124.8,75.1,2.57
243,seoul,20,KR,1566606678,78,37.57,126.98,71.6,1.12
244,saint-paul,0,FR,1566607150,62,45.22,1.9,59.65,5.82
245,port lincoln,62,AU,1566607151,74,-34.72,135.86,55.64,23.38
246,zhuji,40,CN,1566607152,79,29.72,120.23,86.56,2.24
247,najran,0,SA,1566607153,21,17.54,44.22,80.6,5.82
248,seoni malwa,99,IN,1566607153,93,22.45,77.47,74.24,6.44
249,northam,0,AU,1566607154,81,-31.65,116.67,48.2,4.7
250,tiarei,20,PF,1566607155,58,-17.53,-149.33,84.09,11.41
251,soyo,83,AO,1566607156,90,-6.13,12.37,72.47,5.86
252,fortuna,1,US,1566606994,72,40.6,-124.16,64.71,14.99
253,auki,65,NG,1566607157,90,12.18,6.51,71.82,8.84
254,sankheda,20,IN,1566607158,88,22.21,73.58,80.6,5.82
255,srednekolymsk,15,RU,1566607159,35,67.46,153.71,72.96,5.41
256,lewistown,1,US,1566607159,64,40.39,-90.15,72.18,6.93
257,wanning,40,AT,1566607160,88,48.64,13.53,62.55,2.24
258,apatou,91,SR,1566607161,98,5.16,-54.34,72.67,2.57
259,beloha,20,MG,1566607162,90,-25.17,45.06,63.38,11.81
